order wp tar brand age time
 1 1 1 2 2 301
 2 1 1 1 1 326
 3 1 1 2 3 260
 4 1 1 1 3 290
 5 1 1 1 2 312
 6 1 1 2 1 292
 7 2 2 1 1 329
 8 2 2 1 2 331
 9 2 2 1 3 285
10 2 2 2 1 306
11 2 2 2 2 258
12 2 2 2 3 276
13 3 2 2 2 290
14 3 2 1 1 380
15 3 2 1 2 335
16 3 2 1 3 309
17 3 2 2 3 243
18 3 2 2 1 334
19 4 2 1 1 321
20 4 2 2 1 337
21 4 2 2 3 275
22 4 2 1 2 316
23 4 2 1 3 307
24 4 2 2 2 250
25 5 2 2 2 308
26 5 2 1 1 345
27 5 2 2 1 307
28 5 2 2 3 288
29 5 2 1 3 321
30 5 2 1 2 330
31 6 1 1 1 344
32 6 1 2 3 283
33 6 1 2 1 281
34 6 1 2 2 261
35 6 1 1 3 307
36 6 1 1 2 292
37 7 1 2 1 274
38 7 1 1 3 310
39 7 1 1 2 304
40 7 1 2 2 279
41 7 1 2 3 277
42 7 1 1 1 330
43 8 1 1 3 302
44 8 1 1 2 325
45 8 1 2 2 301
46 8 1 1 1 338
47 8 1 2 3 270
48 8 1 2 1 297
49 9 2 1 2 323
50 9 2 1 3 334
51 9 2 2 3 265
52 9 2 1 1 326
53 9 2 2 2 269
54 9 2 2 1 297
55 10 1 2 3 309
56 10 1 1 3 314
57 10 1 2 2 259
58 10 1 1 1 344
59 10 1 2 1 310
60 10 1 1 2 322
